Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,label
8.0,17,64.0,4578.534625796874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,55400,554,554,554.0,0.0,554.0,0.0002184319496154,100,0.0,DoS/DDoS
20.12,6,65.69,18228.17905258583,0.0,0.0,0.0,0.01,0.01,0.0,0.0,1,0,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6052,60,112,60.52,5.199999999999997,60.52,5.486011505126953e-05,100,27.039999999999967,DoS/DDoS
0.0,47,63.36,2256.470069238591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.99,0.99,58668,60,592,586.68,53.19999999999987,586.68,0.0004431700706481,100,2830.239999999986,DoS/DDoS
0.28,1,64.46,1023.7600562368197,0.0,0.0,0.0,0.01,0.01,0.0,0.0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.02,0.96,0.0,0.98,0.98,89483,60,1514,894.83,587.951074288988,894.83,0.0009768104553222,100,345686.4657575752,DoS/DDoS
30.8,6,234.3,424.8472018232464,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,717,66,123,71.7,18.02498266295977,71.7,0.0050403833389282,10,324.9000000000002,Benign
18.0,17,105.4,100.8726268752916,0.0,0.0,0.0,0.1,0.4,0.0,0.0,4,0,0,0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.1,0.0,0.0,0.9,0.9,1586,54,414,158.6,144.82725342052626,158.6,0.010020089149475,10,20974.93333333333,Spoofing
8.0,17,64.0,32819.28012519562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,13038,60,162,130.38,47.41196626859673,130.38,3.0469894409179687e-05,100,2247.894545454554,DoS/DDoS
20.0,6,64.0,45432.235701906415,0.0,0.0,0.25,0.75,0.75,0.0,0.0,75,0,0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.207040786743164e-05,100,0.0,DoS/DDoS
18.4,6,81.4,45.7140864166852,0.0,0.1,0.0,0.2,0.4,0.0,0.0,4,1,0,0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.5,0.2,0.0,0.3,0.0,0.0,0.7,0.7,1142,60,230,114.2,68.26386713009713,114.2,0.0253398895263671,10,4659.955555555555,Benign
17.6,6,106.8,350.98778242677827,0.0,0.0,0.0,0.4,0.7,0.0,0.0,7,0,0,0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.0,0.0,0.0,0.0,1.0,1.0,702,46,119,70.2,25.68960014394065,70.2,0.0030469894409179,10,659.9555555555557,Spoofing
0.0,47,64.0,2372.4780813394423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,57800,578,578,578.0,0.0,578.0,0.0004215097427368,100,0.0,DoS/DDoS
0.96,1,65.27,777.6720108428619,0.0,0.01,0.0,0.01,0.02,0.0,0.0,2,1,0,0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.03,0.01,0.0,0.02,0.94,0.0,0.98,0.98,88766,60,1514,887.66,596.1954160687707,887.66,0.0012859010696411,100,355448.97414141457,DoS/DDoS
0.08,1,64.64,14330.681973486402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.99,0.0,1.0,1.0,6033,60,93,60.33,3.2999999999999963,60.33,6.978034973144531e-05,100,10.889999999999976,DoS/DDoS
20.0,6,60.5,45.48889973428773,0.0,0.0,0.0,0.3,0.7,0.0,0.0,7,0,0,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.7,0.7,873,60,156,87.3,40.90110022970042,87.3,0.0325858831405639,10,1672.9,Benign
12.8,17,98.5,76.86042250010995,0.0,0.0,0.0,0.1,0.3,0.0,0.0,3,0,0,0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,669,60,123,66.9,19.801515093547767,66.9,0.0160616874694824,10,392.1000000000001,Reconnaissance
28.4,6,133.7,108.36594755199587,0.1,0.0,0.0,0.6,0.9,0.0,0.0,9,0,1,0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.1,0.0,0.0,0.0,1.0,1.0,1781,66,540,178.1,155.03221887365507,178.1,0.0138947010040283,10,24034.98888888889,Reconnaissance
4.56,17,61.85,1055.075263623923,0.0,0.02,0.0,0.0,0.01,0.0,0.0,1,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.49,0.0,0.03,0.0,0.0,0.97,0.97,86880,60,1514,868.8,603.289568143112,868.8,0.0009478092193603,100,363958.3030303026,DoS/DDoS
22.4,6,73.2,1076.3180990017706,0.0,0.6,0.4,0.0,0.4,0.0,0.0,4,6,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0013527870178222,10,0.0,Reconnaissance
20.0,6,64.0,5054.596288262232,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,0.0001978516578674,100,0.0,DoS/DDoS
32.0,6,63.6,1028.166887287346,0.0,0.0,0.0,0.1,1.0,0.0,0.0,10,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14177,66,1999,1417.7,498.797676640762,1417.7,0.0011019945144653,10,248799.12222222213,Benign
30.4,6,130.0,581.7665335108744,0.1,0.1,0.0,0.3,0.9,0.0,0.0,9,1,1,0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,6429,62,1500,642.9,737.7299189631212,642.9,0.0017403125762939,10,544245.4333333333,Spoofing
20.0,6,64.0,33067.67581204668,0.0,0.0,0.0,1.0,1.0,0.0,0.0,100,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.025054931640625e-05,100,0.0,DoS/DDoS
4.64,17,64.34,515.7909882080083,0.0,0.02,0.0,0.0,0.02,0.0,0.0,2,2,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.48,0.01,0.02,0.01,0.0,0.98,0.98,88882,60,1514,888.82,594.9133945968158,888.82,0.0019387888908386,100,353921.9470707067,DoS/DDoS
20.0,6,64.0,29833.58702610428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,3.351926803588867e-05,100,0.0,DoS/DDoS
22.8,6,55.5,850.4093590965309,0.0,0.7,0.3,0.0,0.3,0.0,0.0,3,7,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,600,60,60,60.0,0.0,60.0,0.0011759996414184,10,0.0,Reconnaissance
20.0,6,64.0,8943.650979806811,0.01,0.32,0.59,0.01,0.04,0.0,0.0,4,32,1,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.05,0.0,0.0,0.0,0.0,1.0,1.0,9835,60,217,98.35,54.48053586262511,98.35,0.0001118111610412,100,2968.1287878787807,DoS/DDoS
20.0,6,64.0,36377.31136166522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6000,60,60,60.0,0.0,60.0,2.748966217041016e-05,100,0.0,DoS/DDoS
0.0,47,64.0,7473.280592972704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,59200,592,592,592.0,0.0,592.0,0.0001342391967773,100,0.0,DoS/DDoS
0.4,47,67.62,3068.232127051009,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1,0,0,0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,1.0,1.0,58494,350,1500,584.94,95.2005665885863,584.94,0.0003272604942321,100,9063.147878787857,DoS/DDoS
32.0,6,96.8,76.48424108477938,0.0,0.0,0.0,0.5,1.0,0.0,0.0,10,0,0,0,0.1,0.9,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1402,66,279,140.2,87.1942913523841,140.2,0.0139008045196533,10,7602.844444444445,Benign
20.6,6,67.66,3884.549984255469,0.0,0.0,0.0,0.02,0.05,0.0,0.0,5,0,0,0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9497,60,1514,94.97,210.19584206211584,94.97,0.0002574300765991,100,44182.29202020194,DoS/DDoS
15.2,17,69.8,1386.5926146318886,0.0,0.0,0.0,0.1,0.3,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.7,0.0,0.0,0.0,0.0,1.0,1.0,1196,66,203,119.6,39.73579410724459,119.6,0.0012087106704711,10,1578.9333333333334,Spoofing
19.2,6,74.5,93.46492645240076,0.0,0.0,0.2,0.2,0.5,0.0,0.0,5,0,0,2,0.0,0.5,0.1,0.0,0.0,0.0,0.0,0.5,0.4,0.0,0.1,0.0,0.0,0.9,0.9,702,60,97,70.2,14.551059526142188,70.2,0.0116638898849487,10,211.7333333333333,Benign
