Edge,Weighted frequency,Node_u_label,Node_v_label,Source_id,Target_id
1043469376771332113858820724324827897913309990452-1043469376771332113858820724324827897913309990452,14290.015489972282,LLC >,LLC >,1043469376771332113858820724324827897913309990452,1043469376771332113858820724324827897913309990452
1043469376771332113858820724324827897913309990452-1043754360836331848364792327262011021650379248223,638.1446616137974,LLC >,DNS >,1043469376771332113858820724324827897913309990452,1043754360836331848364792327262011021650379248223
1043469376771332113858820724324827897913309990452-1077028023530208599426324724984012030801332581683,767.6830262514268,LLC >,Time_To_Live >,1043469376771332113858820724324827897913309990452,1077028023530208599426324724984012030801332581683
1043469376771332113858820724324827897913309990452-1085488307210616684491611463585545838953333018237,132.32431110386435,LLC >,Type >,1043469376771332113858820724324827897913309990452,1085488307210616684491611463585545838953333018237
1043469376771332113858820724324827897913309990452-1091995366823138898995898948102109473193356840202,15466.792760476113,LLC >,DNS <=,1043469376771332113858820724324827897913309990452,1091995366823138898995898948102109473193356840202
1043469376771332113858820724324827897913309990452-109928824856976412487775174607761519739702474552,16229.343780079213,LLC >,Number <=,1043469376771332113858820724324827897913309990452,109928824856976412487775174607761519739702474552
1043469376771332113858820724324827897913309990452-1118614325010621431186771152252517336813918651911,1744.295745385882,LLC >,sum >,1043469376771332113858820724324827897913309990452,1118614325010621431186771152252517336813918651911
1043469376771332113858820724324827897913309990452-1184472685782376059334758133512718430805424685192,122.22321865318767,LLC >,SSH >,1043469376771332113858820724324827897913309990452,1184472685782376059334758133512718430805424685192
1043469376771332113858820724324827897913309990452-1232849963170894971818913290506039176322619533319,623.2374042067504,LLC >,psh_flag_number >,1043469376771332113858820724324827897913309990452,1232849963170894971818913290506039176322619533319
1043469376771332113858820724324827897913309990452-1233133706649643691022119102239698495899057226060,2007.4454958106069,LLC >,Time_To_Live <=,1043469376771332113858820724324827897913309990452,1233133706649643691022119102239698495899057226060
1043469376771332113858820724324827897913309990452-1236189254858718471128603624930063881324958313531,3629.322517528127,LLC >,HTTPS >,1043469376771332113858820724324827897913309990452,1236189254858718471128603624930063881324958313531
1043469376771332113858820724324827897913309990452-1239329028096551917906154637654656383307088642249,4.040436980270667,LLC >,cwr_flag_number <=,1043469376771332113858820724324827897913309990452,1239329028096551917906154637654656383307088642249
1043469376771332113858820724324827897913309990452-1251276136943778783713685275011300537715092657394,4788.129618720513,LLC >,fin_flag_number >,1043469376771332113858820724324827897913309990452,1251276136943778783713685275011300537715092657394
