Edge,Weighted frequency,Node_u_label,Node_v_label,Source_id,Target_id
1043469376771332113858820724324827897913309990452-1043469376771332113858820724324827897913309990452,26.262840371759335,LLC >,LLC >,1043469376771332113858820724324827897913309990452,1043469376771332113858820724324827897913309990452
1043469376771332113858820724324827897913309990452-1043754360836331848364792327262011021650379248223,1208.6934642310505,LLC >,DNS >,1043469376771332113858820724324827897913309990452,1043754360836331848364792327262011021650379248223
1043469376771332113858820724324827897913309990452-1070253533701240439447821754319583826073025846503,1389.7474003671307,LLC >,Max >,1043469376771332113858820724324827897913309990452,1070253533701240439447821754319583826073025846503
1043469376771332113858820724324827897913309990452-1077028023530208599426324724984012030801332581683,6642.315474718998,LLC >,Time_To_Live >,1043469376771332113858820724324827897913309990452,1077028023530208599426324724984012030801332581683
1043469376771332113858820724324827897913309990452-1085488307210616684491611463585545838953333018237,498.8310462174487,LLC >,Type >,1043469376771332113858820724324827897913309990452,1085488307210616684491611463585545838953333018237
1043469376771332113858820724324827897913309990452-1091995366823138898995898948102109473193356840202,35088.93057389164,LLC >,DNS <=,1043469376771332113858820724324827897913309990452,1091995366823138898995898948102109473193356840202
1043469376771332113858820724324827897913309990452-109928824856976412487775174607761519739702474552,1699.0037502038156,LLC >,Number <=,1043469376771332113858820724324827897913309990452,109928824856976412487775174607761519739702474552
1043469376771332113858820724324827897913309990452-1118614325010621431186771152252517336813918651911,1109.099951084298,LLC >,sum >,1043469376771332113858820724324827897913309990452,1118614325010621431186771152252517336813918651911
1043469376771332113858820724324827897913309990452-1142857970576506471478393393000113013376204379484,5838.431436491114,LLC >,rst_flag_number <=,1043469376771332113858820724324827897913309990452,1142857970576506471478393393000113013376204379484
1043469376771332113858820724324827897913309990452-119501872384761655346741968946796756296882526119,1423.2765104695382,LLC >,ARP <=,1043469376771332113858820724324827897913309990452,119501872384761655346741968946796756296882526119
1043469376771332113858820724324827897913309990452-1232849963170894971818913290506039176322619533319,1275.7679765204632,LLC >,psh_flag_number >,1043469376771332113858820724324827897913309990452,1232849963170894971818913290506039176322619533319
1043469376771332113858820724324827897913309990452-1233133706649643691022119102239698495899057226060,3712.835743176786,LLC >,Time_To_Live <=,1043469376771332113858820724324827897913309990452,1233133706649643691022119102239698495899057226060
1043469376771332113858820724324827897913309990452-1236189254858718471128603624930063881324958313531,3484.8768954834504,LLC >,HTTPS >,1043469376771332113858820724324827897913309990452,1236189254858718471128603624930063881324958313531
1043469376771332113858820724324827897913309990452-1239329028096551917906154637654656383307088642249,11152.616174792109,LLC >,cwr_flag_number <=,1043469376771332113858820724324827897913309990452,1239329028096551917906154637654656383307088642249
1043469376771332113858820724324827897913309990452-1244200006508864238414081275966745179431479901918,923.1583895688581,LLC >,ARP >,1043469376771332113858820724324827897913309990452,1244200006508864238414081275966745179431479901918
1043469376771332113858820724324827897913309990452-1251276136943778783713685275011300537715092657394,416.84927652098906,LLC >,fin_flag_number >,1043469376771332113858820724324827897913309990452,1251276136943778783713685275011300537715092657394
1043469376771332113858820724324827897913309990452-1329847435934461746074927120436757452470095790255,113.13223544757868,LLC >,Min >,1043469376771332113858820724324827897913309990452,1329847435934461746074927120436757452470095790255
1043469376771332113858820724324827897913309990452-1338222599102815322204523610829624561969283441716,259.59807598239036,LLC >,SSH <=,1043469376771332113858820724324827897913309990452,1338222599102815322204523610829624561969283441716
1043469376771332113858820724324827897913309990452-1343908975744673306589744221553424462279673294717,260.608185227458,LLC >,TCP <=,1043469376771332113858820724324827897913309990452,1343908975744673306589744221553424462279673294717
1043469376771332113858820724324827897913309990452-1345309773886921328764805451107636357621530213384,13589.032258064517,LLC >,Class -1,1043469376771332113858820724324827897913309990452,1345309773886921328764805451107636357621530213384
1043469376771332113858820724324827897913309990452-1375509225989204300559045429796274689340158771149,907.0781020707648,LLC >,rst_count <=,1043469376771332113858820724324827897913309990452,1375509225989204300559045429796274689340158771149
1043469376771332113858820724324827897913309990452-1379366653555122327876205020011632492492609315477,6542.477580303277,LLC >,Type <=,1043469376771332113858820724324827897913309990452,1379366653555122327876205020011632492492609315477
1043469376771332113858820724324827897913309990452-1390694102288752714886335797250086933489416434790,954.5532365889451,LLC >,size >,1043469376771332113858820724324827897913309990452,1390694102288752714886335797250086933489416434790
1043469376771332113858820724324827897913309990452-1418025003262016765970487572214907425163069882682,2174.7652046306866,LLC >,IPv >,1043469376771332113858820724324827897913309990452,1418025003262016765970487572214907425163069882682
1043469376771332113858820724324827897913309990452-1418162538066850581097605911983264533342366443794,241.41610957117234,LLC >,Header_Length <=,1043469376771332113858820724324827897913309990452,1418162538066850581097605911983264533342366443794
1043469376771332113858820724324827897913309990452-1429650867505148313720594668477948880050562903683,1469.464570304487,LLC >,syn_flag_number >,1043469376771332113858820724324827897913309990452,1429650867505148313720594668477948880050562903683
1043469376771332113858820724324827897913309990452-1454952188391427871478129207189215566009723810659,390.912277841187,LLC >,Std >,1043469376771332113858820724324827897913309990452,1454952188391427871478129207189215566009723810659
1043469376771332113858820724324827897913309990452-1455733501014453866297060548284701359849809242142,6368.608453474856,LLC >,DHCP <=,1043469376771332113858820724324827897913309990452,1455733501014453866297060548284701359849809242142
1043469376771332113858820724324827897913309990452-153155765823982001952501641876618811106762500815,2271.654231734193,LLC >,ack_flag_number >,1043469376771332113858820724324827897913309990452,153155765823982001952501641876618811106762500815
1043469376771332113858820724324827897913309990452-160227321490815016489601533331665083666172936667,2931.93983631649,LLC >,IGMP <=,1043469376771332113858820724324827897913309990452,160227321490815016489601533331665083666172936667
1043469376771332113858820724324827897913309990452-161772624339136553719839337862344762258727720981,2768.7094407304744,LLC >,ack_flag_number <=,1043469376771332113858820724324827897913309990452,161772624339136553719839337862344762258727720981
