Node,Community_ID
sum >,0
Variance <=,0
AVG <=,0
UDP >,0
Header_Length >,0
HTTPS >,0
size >,0
ICMP >,0
Rate >,0
ack_count >,0
ack_count <=,0
rst_flag_number <=,0
cwr_flag_number >,0
Max >,0
Number <=,0
Class -1,0
IPv >,0
rst_count <=,0
IAT >,0
ece_flag_number <=,0
DHCP <=,0
SSH <=,0
ICMP <=,0
Std >,0
HTTPS <=,0
Type <=,0
rst_count >,0
LLC >,0
Class 1,0
Rate <=,0
rst_flag_number >,0
ack_flag_number >,0
psh_flag_number >,0
syn_flag_number <=,0
ARP <=,0
Header_Length <=,0
ack_flag_number <=,0
cwr_flag_number <=,0
LLC <=,0
UDP <=,0
syn_count >,0
AVG >,0
Time_To_Live <=,0
Min >,0
TCP <=,0
psh_flag_number <=,0
ARP >,0
IPv <=,0
IRC >,0
HTTP <=,0
fin_count <=,0
SSH >,0
Std <=,0
syn_count <=,0
HTTP >,0
sum <=,0
fin_count >,0
TCP >,0
DNS <=,0
IAT <=,0
Number >,0
syn_flag_number >,0
DHCP >,0
Min <=,0
IGMP <=,0
size <=,0
Max <=,0
Time_To_Live >,0
Type >,0
ece_flag_number >,0
fin_flag_number <=,0
DNS >,0
IRC <=,0
fin_flag_number >,0
Variance >,0
IGMP >,0
