Edge,Weighted frequency,Node_u_label,Node_v_label,Source_id,Target_id
1043469376771332113858820724324827897913309990452-1043469376771332113858820724324827897913309990452,755.315403422983,LLC >,LLC >,1043469376771332113858820724324827897913309990452,1043469376771332113858820724324827897913309990452
1043469376771332113858820724324827897913309990452-1043754360836331848364792327262011021650379248223,1953.924205378973,LLC >,DNS >,1043469376771332113858820724324827897913309990452,1043754360836331848364792327262011021650379248223
1043469376771332113858820724324827897913309990452-1070253533701240439447821754319583826073025846503,3197.4682151589245,LLC >,Max >,1043469376771332113858820724324827897913309990452,1070253533701240439447821754319583826073025846503
1043469376771332113858820724324827897913309990452-1077028023530208599426324724984012030801332581683,10373.721882640588,LLC >,Time_To_Live >,1043469376771332113858820724324827897913309990452,1077028023530208599426324724984012030801332581683
1043469376771332113858820724324827897913309990452-1085488307210616684491611463585545838953333018237,136.57273838630806,LLC >,Type >,1043469376771332113858820724324827897913309990452,1085488307210616684491611463585545838953333018237
1043469376771332113858820724324827897913309990452-1091995366823138898995898948102109473193356840202,31414.001833740833,LLC >,DNS <=,1043469376771332113858820724324827897913309990452,1091995366823138898995898948102109473193356840202
1043469376771332113858820724324827897913309990452-109928824856976412487775174607761519739702474552,1911.5134474327629,LLC >,Number <=,1043469376771332113858820724324827897913309990452,109928824856976412487775174607761519739702474552
1043469376771332113858820724324827897913309990452-1118614325010621431186771152252517336813918651911,6184.144865525673,LLC >,sum >,1043469376771332113858820724324827897913309990452,1118614325010621431186771152252517336813918651911
1043469376771332113858820724324827897913309990452-1142857970576506471478393393000113013376204379484,8213.297677261615,LLC >,rst_flag_number <=,1043469376771332113858820724324827897913309990452,1142857970576506471478393393000113013376204379484
1043469376771332113858820724324827897913309990452-119501872384761655346741968946796756296882526119,166.61369193154036,LLC >,ARP <=,1043469376771332113858820724324827897913309990452,119501872384761655346741968946796756296882526119
1043469376771332113858820724324827897913309990452-1232849963170894971818913290506039176322619533319,4999.925427872861,LLC >,psh_flag_number >,1043469376771332113858820724324827897913309990452,1232849963170894971818913290506039176322619533319
1043469376771332113858820724324827897913309990452-1233133706649643691022119102239698495899057226060,3565.0281173594135,LLC >,Time_To_Live <=,1043469376771332113858820724324827897913309990452,1233133706649643691022119102239698495899057226060
1043469376771332113858820724324827897913309990452-1236189254858718471128603624930063881324958313531,3858.3691931540343,LLC >,HTTPS >,1043469376771332113858820724324827897913309990452,1236189254858718471128603624930063881324958313531
1043469376771332113858820724324827897913309990452-1239329028096551917906154637654656383307088642249,2416.4034229828853,LLC >,cwr_flag_number <=,1043469376771332113858820724324827897913309990452,1239329028096551917906154637654656383307088642249
1043469376771332113858820724324827897913309990452-1244200006508864238414081275966745179431479901918,879.7707823960881,LLC >,ARP >,1043469376771332113858820724324827897913309990452,1244200006508864238414081275966745179431479901918
1043469376771332113858820724324827897913309990452-1251276136943778783713685275011300537715092657394,780.307457212714,LLC >,fin_flag_number >,1043469376771332113858820724324827897913309990452,1251276136943778783713685275011300537715092657394
1043469376771332113858820724324827897913309990452-1329847435934461746074927120436757452470095790255,115.11491442542788,LLC >,Min >,1043469376771332113858820724324827897913309990452,1329847435934461746074927120436757452470095790255
1043469376771332113858820724324827897913309990452-1338222599102815322204523610829624561969283441716,1418.7408312958437,LLC >,SSH <=,1043469376771332113858820724324827897913309990452,1338222599102815322204523610829624561969283441716
1043469376771332113858820724324827897913309990452-1343908975744673306589744221553424462279673294717,233.25916870415648,LLC >,TCP <=,1043469376771332113858820724324827897913309990452,1343908975744673306589744221553424462279673294717
1043469376771332113858820724324827897913309990452-1345309773886921328764805451107636357621530213384,5472.25,LLC >,Class -1,1043469376771332113858820724324827897913309990452,1345309773886921328764805451107636357621530213384
1043469376771332113858820724324827897913309990452-1375509225989204300559045429796274689340158771149,9968.547677261615,LLC >,rst_count <=,1043469376771332113858820724324827897913309990452,1375509225989204300559045429796274689340158771149
1043469376771332113858820724324827897913309990452-1379366653555122327876205020011632492492609315477,1553.0415647921761,LLC >,Type <=,1043469376771332113858820724324827897913309990452,1379366653555122327876205020011632492492609315477
1043469376771332113858820724324827897913309990452-1390694102288752714886335797250086933489416434790,492.77261613691934,LLC >,size >,1043469376771332113858820724324827897913309990452,1390694102288752714886335797250086933489416434790
1043469376771332113858820724324827897913309990452-1418025003262016765970487572214907425163069882682,3490.05195599022,LLC >,IPv >,1043469376771332113858820724324827897913309990452,1418025003262016765970487572214907425163069882682
1043469376771332113858820724324827897913309990452-1418162538066850581097605911983264533342366443794,222.1515892420538,LLC >,Header_Length <=,1043469376771332113858820724324827897913309990452,1418162538066850581097605911983264533342366443794
1043469376771332113858820724324827897913309990452-1429650867505148313720594668477948880050562903683,3911.382640586797,LLC >,syn_flag_number >,1043469376771332113858820724324827897913309990452,1429650867505148313720594668477948880050562903683
