Node,Community_ID
HTTP >,0
Header_Length <=,0
cwr_flag_number <=,0
Time_To_Live <=,0
AVG <=,0
ack_flag_number <=,0
Variance >,0
LLC >,0
Rate <=,0
Std <=,0
Time_To_Live >,0
syn_count >,0
LLC <=,0
IPv >,0
DNS >,0
syn_flag_number <=,0
Min <=,0
ack_count >,0
DNS <=,0
IRC >,0
Number <=,0
rst_count <=,0
psh_flag_number <=,0
HTTPS >,0
Rate >,0
size >,0
syn_count <=,0
Std >,0
UDP >,0
IGMP <=,0
ARP <=,0
ICMP <=,0
Variance <=,0
syn_flag_number >,0
rst_flag_number >,0
sum <=,0
Max >,0
IPv <=,0
SSH >,0
AVG >,0
ARP >,0
ece_flag_number <=,0
sum >,0
Class 1,0
IAT <=,0
UDP <=,0
HTTP <=,0
psh_flag_number >,0
Header_Length >,0
SSH <=,0
Min >,0
rst_count >,0
fin_flag_number <=,0
Max <=,0
cwr_flag_number >,0
DHCP >,0
Number >,0
TCP >,0
Class -1,0
IAT >,0
fin_count >,0
fin_count <=,0
HTTPS <=,0
ICMP >,0
IGMP >,0
Type <=,0
ack_flag_number >,0
IRC <=,0
rst_flag_number <=,0
Type >,0
TCP <=,0
DHCP <=,0
ece_flag_number >,0
fin_flag_number >,0
size <=,0
ack_count <=,0
