class_name,community_id,feature,lower_bound,upper_bound,range_width
Benign,0,HTTP,-inf,0.05,
Benign,0,Number,-inf,11.0,
Benign,0,Tot sum,2199.5,inf,
Benign,0,Rate,57.68,3729.12,3671.44
Benign,0,Variance,2813.51,831186.41,828372.9
Benign,0,Tot size,62.65,289.8,227.15
Benign,0,IAT,-inf,0.05,
Benign,0,psh_flag_number,-inf,0.37,
Benign,0,Max,1501.5,1502.5,1.0
Benign,0,Std,-inf,573.92,
Benign,0,ARP,-inf,0.5,
Benign,0,AVG,92.05,202.2,110.14999999999999
Benign,0,ack_flag_number,0.35,inf,
Benign,0,UDP,-inf,0.15,
Benign,0,ack_count,5.5,15.0,9.5
Benign,0,HTTPS,0.4,0.55,0.15000000000000002
Benign,0,rst_flag_number,-inf,0.1,
Benign,0,Time_To_Live,61.95,221.25,159.3
Benign,0,Header_Length,11.0,inf,
Benign,0,fin_flag_number,-inf,0.15,
DoS/DDoS,1,Tot sum,591.5,35794.0,35202.5
DoS/DDoS,1,AVG,62.65,3404.2,3341.5499999999997
DoS/DDoS,1,ack_flag_number,0.1,1.0,0.9
DoS/DDoS,1,DNS,-inf,0.17,
DoS/DDoS,1,Time_To_Live,49.1,241.65,192.55
DoS/DDoS,1,fin_flag_number,-inf,0.1,
DoS/DDoS,1,rst_count,-inf,9.5,
DoS/DDoS,1,Max,64.0,8369.0,8305.0
DoS/DDoS,1,Number,10.5,55.0,44.5
DoS/DDoS,1,Std,0.63,1985.01,1984.3799999999999
DoS/DDoS,1,Header_Length,7.98,33.8,25.819999999999997
DoS/DDoS,1,HTTPS,0.05,0.95,0.8999999999999999
DoS/DDoS,1,IPv,0.81,1.0,0.18999999999999995
DoS/DDoS,1,HTTP,-inf,0.82,
DoS/DDoS,1,ack_count,0.5,10.5,10.0
DoS/DDoS,1,IAT,0.0,0.04,0.04
DoS/DDoS,1,Tot size,58.0,1541.55,1483.55
DoS/DDoS,1,Rate,38.11,181063.55,181025.44
DoS/DDoS,1,Variance,0.02,3350968.12,3350968.1
DoS/DDoS,1,syn_count,0.5,4.5,4.0
DoS/DDoS,1,psh_flag_number,0.05,0.55,0.5
DoS/DDoS,1,Min,48.0,1507.0,1459.0
DoS/DDoS,1,UDP,0.58,1.0,0.42000000000000004
DoS/DDoS,1,ICMP,-inf,0.05,
DoS/DDoS,1,ARP,0.0,0.1,0.1
DoS/DDoS,1,SSH,-inf,0.15,
DoS/DDoS,1,rst_flag_number,-inf,0.15,
DoS/DDoS,1,ece_flag_number,-inf,0.05,
DoS/DDoS,1,TCP,0.1,0.35,0.24999999999999997
DoS/DDoS,1,syn_flag_number,0.0,0.15,0.15
DoS/DDoS,1,LLC,0.86,inf,
DoS/DDoS,1,fin_count,0.5,1.5,1.0
DoS/DDoS,1,DHCP,-inf,0.05,
DoS/DDoS,1,Telnet,-inf,0.0,
DoS/DDoS,1,IRC,-inf,0.05,
DoS/DDoS,1,Protocol Type,11.5,11.5,0.0
Reconnaissance,2,cwr_flag_number,-inf,0.05,
Reconnaissance,2,Rate,62.35,inf,
Reconnaissance,2,psh_flag_number,-inf,0.06,
Reconnaissance,2,Tot sum,889.5,1377.0,487.5
Reconnaissance,2,HTTPS,-inf,0.26,
Reconnaissance,2,syn_count,1.5,inf,
Reconnaissance,2,Header_Length,-inf,37.6,
Reconnaissance,2,Std,-inf,55.65,
Reconnaissance,2,AVG,-inf,88.1,
Spoofing,3,Time_To_Live,-inf,161.55,
Spoofing,3,UDP,0.75,0.97,0.21999999999999997
Spoofing,3,Max,189.5,1498.5,1309.0
Spoofing,3,Tot sum,618.0,14232.0,13614.0
Spoofing,3,Min,-inf,59.0,
Spoofing,3,Std,-inf,605.79,
Spoofing,3,syn_count,-inf,3.5,
Spoofing,3,ack_count,-inf,11.5,
Spoofing,3,Tot size,-inf,90.95,
Spoofing,3,IGMP,-inf,0.0,
Spoofing,3,Rate,397.62,inf,
Spoofing,3,SSH,-inf,0.05,
