classe,predicado,feature,lrc,betweenness,n_dentro,n_classe,n_fora,n_nao_classe,cobertura,seletividade,razao,sem_contraexemplo
Benign,ack_flag_number > 0.1,ack_flag_number,0.8086577464035976,0.0164030771120058,3269,3306,4311,10364,0.9888082274652148,0.4159590891547665,2.377176634063903,False
DoS/DDoS,ack_flag_number > 0.1,ack_flag_number,0.8086577464035976,0.0164030771120058,1237,6794,6343,6876,0.18207241683838682,0.9224840023269343,0.19737189629209329,False
Reconnaissance,ack_flag_number > 0.1,ack_flag_number,0.8086577464035976,0.0164030771120058,1936,2140,5644,11530,0.9046728971962616,0.48950563746747616,1.8481358087655735,False
Spoofing,ack_flag_number > 0.1,ack_flag_number,0.8086577464035976,0.0164030771120058,1138,1430,6442,12240,0.7958041958041958,0.5263071895424837,1.512052678771089,False
Benign,Header_Length <= 32.6,Header_Length,0.6888694516079947,0.0094865924580932,3195,3306,9988,10364,0.9664246823956443,0.9637205712080278,1.002805907924355,False
DoS/DDoS,Header_Length <= 32.6,Header_Length,0.6888694516079947,0.0094865924580932,6650,6794,6533,6876,0.9788048277892258,0.9501163467132053,1.030194703180578,False
Reconnaissance,Header_Length <= 32.6,Header_Length,0.6888694516079947,0.0094865924580932,2055,2140,11128,11530,0.9602803738317757,0.965134431916739,0.9949705886305152,False
Spoofing,Header_Length <= 32.6,Header_Length,0.6888694516079947,0.0094865924580932,1283,1430,11900,12240,0.8972027972027972,0.9722222222222222,0.9228371628371628,False
Benign,Std <= 28.22,Std,0.4538545204345691,0.0024034455233634,326,3306,5300,10364,0.09860859044162129,0.5113855654187572,0.192826307799427,False
DoS/DDoS,Std <= 28.22,Std,0.4538545204345691,0.0024034455233634,4522,6794,1104,6876,0.6655872828966736,0.16055846422338568,4.1454512293455865,False
Reconnaissance,Std <= 28.22,Std,0.4538545204345691,0.0024034455233634,484,2140,5142,11530,0.2261682242990654,0.44596704249783176,0.5071411174967375,False
Spoofing,Std <= 28.22,Std,0.4538545204345691,0.0024034455233634,294,1430,5332,12240,0.2055944055944056,0.43562091503267975,0.4719571501266925,False
Benign,rst_flag_number <= 0.15,rst_flag_number,0.4881789523759278,0.0138373551573204,3294,3306,9399,10364,0.9963702359346642,0.9068892319567734,1.0986680631159549,False
DoS/DDoS,rst_flag_number <= 0.15,rst_flag_number,0.4881789523759278,0.0138373551573204,6158,6794,6535,6876,0.9063879894024139,0.9504072134962187,0.9536838278700839,False
Reconnaissance,rst_flag_number <= 0.15,rst_flag_number,0.4881789523759278,0.0138373551573204,1821,2140,10872,11530,0.8509345794392523,0.9429314830875976,0.902435218996926,False
Spoofing,rst_flag_number <= 0.15,rst_flag_number,0.4881789523759278,0.0138373551573204,1420,1430,11273,12240,0.993006993006993,0.9209967320261437,1.0781873143267626,False
Benign,Tot sum > 618.0,Tot sum,0.5960640369387784,0.0069647289983596,3299,3306,10035,10364,0.9978826376285541,0.9682554998070243,1.0305984709897693,False
DoS/DDoS,Tot sum > 618.0,Tot sum,0.5960640369387784,0.0069647289983596,6794,6794,6540,6876,1.0,0.9511343804537522,1.0513761467889908,False
Reconnaissance,Tot sum > 618.0,Tot sum,0.5960640369387784,0.0069647289983596,1830,2140,11504,11530,0.8551401869158879,0.9977450130095403,0.8570728750991122,False
Spoofing,Tot sum > 618.0,Tot sum,0.5960640369387784,0.0069647289983596,1411,1430,11923,12240,0.9867132867132867,0.9741013071895425,1.0129472976071987,False
Benign,Tot size <= 90.95,Tot size,0.6283176249817354,0.0072234941185758,660,3306,4904,10364,0.1996370235934664,0.4731763797761482,0.42190826111800284,False
DoS/DDoS,Tot size <= 90.95,Tot size,0.6283176249817354,0.0072234941185758,3966,6794,1598,6876,0.5837503679717397,0.23240255962769052,2.5118069650648827,False
Reconnaissance,Tot size <= 90.95,Tot size,0.6283176249817354,0.0072234941185758,710,2140,4854,11530,0.3317757009345794,0.4209887250650477,0.7880869039504946,False
Spoofing,Tot size <= 90.95,Tot size,0.6283176249817354,0.0072234941185758,228,1430,5336,12240,0.15944055944055943,0.43594771241830066,0.3657332173074302,False
Benign,SSH <= 0.05,SSH,0.6661626032733251,0.0236879731235142,3226,3306,10309,10364,0.9758015728977616,0.9946931686607487,0.9810076148523039,False
DoS/DDoS,SSH <= 0.05,SSH,0.6661626032733251,0.0236879731235142,6794,6794,6741,6876,1.0,0.9803664921465969,1.020026702269693,False
Reconnaissance,SSH <= 0.05,SSH,0.6661626032733251,0.0236879731235142,2085,2140,11450,11530,0.9742990654205608,0.9930615784908933,0.9811063951352896,False
Spoofing,SSH <= 0.05,SSH,0.6661626032733251,0.0236879731235142,1430,1430,12105,12240,1.0,0.9889705882352942,1.0111524163568772,False
Benign,Tot size <= 77.0,Tot size,0.716143473285058,0.0211661096637807,413,3306,4587,10364,0.1249243799153055,0.4425897336935546,0.28225774437371404,False
DoS/DDoS,Tot size <= 77.0,Tot size,0.716143473285058,0.0211661096637807,3937,6794,1063,6876,0.5794818957904033,0.1545956951716114,3.748370193278282,False
Reconnaissance,Tot size <= 77.0,Tot size,0.716143473285058,0.0211661096637807,515,2140,4485,11530,0.24065420560747663,0.38898525585429317,0.6186717927880057,False
Spoofing,Tot size <= 77.0,Tot size,0.716143473285058,0.0211661096637807,135,1430,4865,12240,0.0944055944055944,0.3974673202614379,0.2375178778056476,False
Benign,HTTPS > 0.35,HTTPS,0.7722527175350276,0.0321088041542766,2742,3306,1873,10364,0.8294010889292196,0.18072172906213818,4.589382213380903,False
DoS/DDoS,HTTPS > 0.35,HTTPS,0.7722527175350276,0.0321088041542766,225,6794,4390,6876,0.03311745657933471,0.6384525887143688,0.051871442241345204,False
Reconnaissance,HTTPS > 0.35,HTTPS,0.7722527175350276,0.0321088041542766,773,2140,3842,11530,0.36121495327102804,0.3332176929748482,1.0840209295197691,False
Spoofing,HTTPS > 0.35,HTTPS,0.7722527175350276,0.0321088041542766,875,1430,3740,12240,0.6118881118881119,0.3055555555555556,2.0025429116338205,False
Benign,Rate <= 39547.11,Rate,0.5949304520114067,0.0308105927037007,3287,3306,9252,10364,0.9942528735632183,0.8927055191045928,1.1137523542595325,False
DoS/DDoS,Rate <= 39547.11,Rate,0.5949304520114067,0.0308105927037007,5878,6794,6661,6876,0.8651751545481307,0.9687318208260617,0.8931007900725035,False
Reconnaissance,Rate <= 39547.11,Rate,0.5949304520114067,0.0308105927037007,2065,2140,10474,11530,0.9649532710280374,0.9084128360797918,1.0622409027070145,False
Spoofing,Rate <= 39547.11,Rate,0.5949304520114067,0.0308105927037007,1309,1430,11230,12240,0.9153846153846154,0.9174836601307189,0.9977121720665799,False
Benign,Min > 59.0,Min,0.6852714487051845,0.2347832951764427,3306,3306,9872,10364,1.0,0.9525279814743343,1.049837925445705,False
DoS/DDoS,Min > 59.0,Min,0.6852714487051845,0.2347832951764427,6723,6794,6455,6876,0.989549602590521,0.9387725421756835,1.0540887788400346,False
Reconnaissance,Min > 59.0,Min,0.6852714487051845,0.2347832951764427,2140,2140,11038,11530,1.0,0.9573287077189939,1.0445732922630913,False
Spoofing,Min > 59.0,Min,0.6852714487051845,0.2347832951764427,1009,1430,12169,12240,0.7055944055944056,0.9941993464052288,0.7097111943853665,False
Benign,fin_flag_number <= 0.05,fin_flag_number,0.8626241458173683,0.0836381498732489,2996,3306,9288,10364,0.9062310949788264,0.8961790814357391,1.0112165232946335,False
DoS/DDoS,fin_flag_number <= 0.05,fin_flag_number,0.8626241458173683,0.0836381498732489,6340,6794,5944,6876,0.933176332057698,0.8644560791157649,1.0794953666266371,False
