classe,predicado,lrc,cobertura,seletividade,lift
Benign,UDP <= 0.5,2.254137672378798,0.9374,0.8201,1.143
Benign,AVG > 77.55,2.3499689079700317,0.8733,0.5564,1.569
Benign,rst_flag_number <= 0.1,2.4566827092717847,0.9964,0.9013,1.105
Benign,IAT <= 0.04,2.5778258127213194,0.9873,0.9816,1.006
Benign,HTTPS > 0.86,0.593714500152059,0.418,0.0914,4.575
Benign,Tot sum > 5555.5,0.6138426575020453,0.3902,0.7327,0.533
Benign,Variance > 450252.47,0.635932306585927,0.3705,0.0702,5.275
Benign,TCP > 0.95,0.6602948849061376,0.3829,0.417,0.918
Benign,UDP <= 0.01,0.687314264345398,0.441,0.5824,0.757
Benign,Time_To_Live <= 164.7,0.7174700020098225,0.807,0.9724,0.83
Benign,Rate <= 1697.49,0.7513705473370115,0.8869,0.3692,2.402
Benign,Max <= 4048.0,0.7898019866390471,0.8842,0.9885,0.894
Benign,Header_Length > 24.2,0.8338019685951726,0.7272,0.188,3.869
Benign,Rate <= 1711.45,0.8847763587944203,0.8872,0.37,2.398
Benign,Variance > 372524.58,0.9446926861363993,0.3999,0.0864,4.631
Benign,Max <= 5635.0,1.0164222569445067,0.9437,0.9973,0.946
Benign,Tot size <= 1564.25,1.104400780962901,0.9059,0.9909,0.914
Benign,Tot size <= 3937.95,1.2160808958531228,0.9997,1.0,1.0
Benign,ARP <= 0.01,1.3659130021531372,0.8224,0.8743,0.941
Benign,Std <= 1529.61,0.0001553388502009098,0.9335,0.9952,0.938
Benign,Std > 600.31,0.8756653876473198,0.409,0.1004,4.071
Benign,HTTPS <= 0.95,0.9234771306919242,0.7329,0.925,0.792
Benign,Variance > 6.6,0.9784947485696464,0.9335,0.5574,1.675
Benign,HTTPS > 0.55,1.0725426041719923,0.7011,0.1363,5.143
Benign,Tot size > 861.3,1.1376847445326497,0.2998,0.1556,1.926
Benign,Std <= 2902.86,1.2396384043998903,0.9885,0.9999,0.989
Benign,Max > 361.5,0.8254032286197194,0.6092,0.4342,1.403
Benign,AVG > 140.8,0.8772581719644115,0.5956,0.4271,1.395
Benign,HTTPS > 0.35,0.9388776751017816,0.8294,0.1807,4.589
Benign,Protocol Type <= 11.5,1.014379638811211,0.9208,0.6955,1.324
Benign,Tot sum <= 87255.0,0.00015931486666677597,1.0,0.9016,1.109
Benign,HTTPS > 0.71,0.0005256567975907221,0.5263,0.1071,4.914
Benign,Variance <= 29662.36,1.2283749018137997,0.4658,0.7252,0.642
Benign,Max <= 516.0,1.3185650774777227,0.4389,0.5904,0.743
Benign,cwr_flag_number <= 0.05,1.4267608993681455,0.9982,0.999,0.999
Benign,HTTPS <= 0.78,1.096705883318633,0.4737,0.893,0.53
Benign,Header_Length > 21.62,1.1830394316855462,0.8097,0.2368,3.42
Benign,ICMP <= 0.0,1.2897699056862864,0.9307,0.8421,1.105
Benign,psh_flag_number <= 0.24,1.4272504047596508,0.7529,0.8522,0.883
Benign,syn_flag_number > 0.05,1.017347471024246,0.1228,0.262,0.469
Benign,syn_count > 98.5,0.9758747985008468,0.0,0.1,0.0
Benign,Tot sum > 634.0,1.0171905501846097,0.9964,0.9671,1.03
Benign,Time_To_Live > 63.98,1.0631480642095712,0.8851,0.8261,1.071
Benign,Rate > 34001.9,1.1146697686132405,0.0064,0.1449,0.044
Benign,psh_flag_number <= 0.11,1.1730936648329164,0.5481,0.7803,0.702
Benign,Max <= 173.0,1.2058519620164092,0.167,0.4409,0.379
Benign,ack_flag_number <= 0.1,1.230381931523309,0.0112,0.584,0.019
Benign,Tot size <= 93.85,1.3113101197428996,0.2184,0.4804,0.455
