Edge,Weight,Node_u_label,Node_v_label,Source_id,Target_id
1075164529392186212084223707925516428068963221936-745586487109724305384321573361999760499104808565,1094.0,ack_flag_number > 0.1,Header_Length <= 32.6,1075164529392186212084223707925516428068963221936,745586487109724305384321573361999760499104808565
1075164529392186212084223707925516428068963221936-737353391047160921689703947234990300017800519006,1151.0,ack_flag_number > 0.1,AVG > 72.55,1075164529392186212084223707925516428068963221936,737353391047160921689703947234990300017800519006
1075164529392186212084223707925516428068963221936-1238815493313229803767284947742880983558777714529,1265.0,ack_flag_number > 0.1,ack_flag_number <= 0.95,1075164529392186212084223707925516428068963221936,1238815493313229803767284947742880983558777714529
1075164529392186212084223707925516428068963221936-1361653232660995247225098458485078879598815803506,1293.0,ack_flag_number > 0.1,Max > 1513.0,1075164529392186212084223707925516428068963221936,1361653232660995247225098458485078879598815803506
1075164529392186212084223707925516428068963221936-1417394437485653248370221845596117295625354908880,1475.0,ack_flag_number > 0.1,Number > 22.0,1075164529392186212084223707925516428068963221936,1417394437485653248370221845596117295625354908880
1075164529392186212084223707925516428068963221936-450732185867019503557253938593748687470332854114,1730.0,ack_flag_number > 0.1,fin_flag_number <= 0.05,1075164529392186212084223707925516428068963221936,450732185867019503557253938593748687470332854114
1075164529392186212084223707925516428068963221936-674196853837619115087533412010134527129516958514,1779.0,ack_flag_number > 0.1,IAT > 0.0,1075164529392186212084223707925516428068963221936,674196853837619115087533412010134527129516958514
1075164529392186212084223707925516428068963221936-279278748635462491609709169030615220444371953148,1817.0,ack_flag_number > 0.1,ack_flag_number > 0.95,1075164529392186212084223707925516428068963221936,279278748635462491609709169030615220444371953148
1075164529392186212084223707925516428068963221936-368895190526474322630463350262516775731513218980,2365.0,ack_flag_number > 0.1,AVG > 206.35,1075164529392186212084223707925516428068963221936,368895190526474322630463350262516775731513218980
1075164529392186212084223707925516428068963221936-651362461792400935886262818312778517146751498200,2577.0,ack_flag_number > 0.1,AVG <= 206.35,1075164529392186212084223707925516428068963221936,651362461792400935886262818312778517146751498200
1075164529392186212084223707925516428068963221936-609793686190684687059712071953436220871075398054,3966.0,ack_flag_number > 0.1,Max <= 1513.0,1075164529392186212084223707925516428068963221936,609793686190684687059712071953436220871075398054
