Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label
1075164529392186212084223707925516428068963221936,13,2,11,0.016403077112005823,0.8086577464035976,ack_flag_number > 0.1
745586487109724305384321573361999760499104808565,4,2,2,0.009486592458093208,0.6888694516079947,Header_Length <= 32.6
53149436127449868924240680690378258004358920789,2,1,1,0.0024034455233634205,0.45385452043456914,Std <= 28.22
1248437611222062269094667128421142588065502000586,4,2,2,0.013837355157320421,0.4881789523759278,rst_flag_number <= 0.15
792331884089540777882596353507246673619962020573,2,1,1,0.0069647289983596926,0.5960640369387784,Tot sum > 618.0
529227758651409631228480425428457185552285181315,2,1,1,0.0072234941185758276,0.6283176249817354,Tot size <= 90.95
1260996581259071097527833462707170428778657907709,4,2,2,0.023687973123514294,0.6661626032733251,SSH <= 0.05
598581671913471130647956824591506198796207170495,2,1,1,0.02116610966378078,0.716143473285058,Tot size <= 77.0
525381118122291178613547005998267981831493448012,5,3,2,0.032108804154276645,0.7722527175350276,HTTPS > 0.35
1035069942411780462596450318131727219922774582329,2,1,1,0.03081059270370078,0.5949304520114067,Rate <= 39547.11
1065678358868830613118634470078609803156730625463,28,14,14,0.23478329517644272,0.6852714487051845,Min > 59.0
450732185867019503557253938593748687470332854114,11,6,5,0.08363814987324895,0.8626241458173683,fin_flag_number <= 0.05
444903398511190255204347034984188376704789605296,27,12,15,0.12090032718437234,0.9180319387312169,syn_count <= 0.5
1211179840315814102050366698863412564375406693168,6,3,3,0.06386674034893819,0.6986097183789982,ack_count <= 10.5
651362461792400935886262818312778517146751498200,4,2,2,0.0014604878818978448,0.00444473452098335,AVG <= 206.35
509662846021224091981558506161146441974990569614,2,1,1,6.578774242783085e-05,0.0004807256120569238,ack_count > 5.5
313966293707852304271238602452879935845810138389,22,22,0,0.0,0.0,Class Benign
228369524332212249435307099043468580179851430248,8,2,6,0.016771488469601678,0.9056936636730848,Number <= 10.5
369704779461116629496268409534905407408423558101,2,1,1,0.0018157416910081314,0.538368720121229,Tot sum <= 3520.0
387587405642621519745509255499974046560031130251,11,6,5,0.043560257186214396,0.5856968303193351,syn_flag_number <= 0.05
1270562219278966630109242817886207307040672253255,7,5,2,0.010280431216722367,0.49450738823155577,Min <= 59.0
831459107027161355059853087709334160875522489318,2,0,2,0.0,0.8593674629279142,Time_To_Live > 69.8
674196853837619115087533412010134527129516958514,45,20,25,0.17632430725507225,1.0282295201150984,IAT > 0.0
395553839061760183450769792032050296186856610739,7,4,3,0.04207345420734542,0.6491871930713757,HTTP <= 0.25
1437081467055428746021978433282703033443826359871,11,6,5,0.05496346587370508,0.7426709281865306,fin_count <= 1.5
796663833304951335607215153502823208410961469538,4,2,2,0.007876985693358946,0.8150471675170766,syn_flag_number <= 0.15
774208217208898530265820716038953292986810213011,2,1,1,0.005447225073024395,0.5840338660250636,Std > 598.22
1025520312540656970049943517486942098102090587070,6,3,3,0.019977544450584635,0.6479283817283501,DNS <= 0.05
622666970840200344191566336878595586235437997465,10,5,5,0.05054252958255485,0.8032792169163399,HTTPS > 0.15
953913665845140399695198589392976727662944162410,8,4,4,0.06018701262247485,0.7275168752496537,Max > 1507.0
569527265265868573570325283223576200882124786394,2,1,1,0.014008403287632781,0.7891925116824512,ack_flag_number > 0.35
299942158036777560429240003267347668566940654871,2,1,1,0.00250870591124795,0.0025490028835528995,Tot size > 350.75
1124213884117542697417192597182180274792342289779,2,1,1,0.0011754076647105779,0.0020565594016103716,Variance <= 571308.56
392411771682679707527492238297144199619242557498,4,2,2,0.0027543134829785183,0.0015814730144358947,rst_flag_number <= 0.1
823667221673605223908033781583315449730179591180,2,1,1,2.1929247475943617e-05,0.0005040148784545628,Time_To_Live <= 202.1
522296290625812105210965960736507767100196631621,12,4,8,0.027087006482285556,0.7144068316067252,ack_count > 0.5
1180772193218401498113880918061067704338583680853,2,1,1,0.0040525249335543806,0.002021332555266773,syn_flag_number > 0.1
450888053468968058004736573118422158697206088732,2,1,1,0.0027148408375218197,0.0015159994164500798,rst_count <= 9.5
135218022300416971984138762094495387107563226576,2,1,1,0.0013683850424988818,0.0010106662776333865,syn_count > 9.5
1052395324327561835603722649024062637786820972558,2,1,1,1.3157548485566169e-05,0.0005053331388166932,Number > 21.0
703354571316526670705826685636552632944029910339,58,58,0,0.0,0.0,Class DoS/DDoS
737353391047160921689703947234990300017800519006,2,1,1,0.0004692858959851934,0.49263471791813973,AVG > 72.55
237495190485034945823156883082714997515285584755,2,1,1,0.0020350341657675674,0.5162011496866972,DHCP <= 0.05
466266383504612808955807328124660275084734411073,2,1,1,0.0035920107365595643,0.5441868366073429,psh_flag_number > 0.05
18451952157075982996268275914942224630362834167,2,1,1,0.0051402156083611835,0.5780269062390947,Rate <= 335.24
1220799681354223785193438987264436551740754232467,2,1,1,0.006679648781172425,0.619906972633493,Time_To_Live <= 139.05
1459038864937564118531243094993440061825756632364,4,2,2,0.015166267554362605,0.6733822203498089,HTTPS > 0.45
883213370144670373722979335944220487736753131083,2,1,1,0.011122514319798603,0.7570806472223588,Max > 153.5
1367466275793494495487688982288844671879356068319,4,2,2,0.07933124566897362,0.6619214139485581,Header_Length > 11.8
1037584906676310569385606190963094293221882392926,2,1,1,0.0,0.6420328024116497,Header_Length <= 29.4
913934229985918927260874460680951411120138465741,4,2,2,0.009986579300544723,0.5175682721435217,Max <= 1493.5
609793686190684687059712071953436220871075398054,7,3,4,0.009925177407612082,0.5378495907463233,Max <= 1513.0
776648585396230254201433345253227033476602560220,2,1,1,8.771698990377447e-06,0.0005057725589374033,Tot size > 62.95
1099727549522855783864797575311522371614377295046,8,2,6,0.027319456505530557,0.6031651135221302,HTTPS > 0.1
1271685220936427656436548112584081639555402886398,2,1,1,0.006618246888239783,0.6195616291252778,Variance <= 562976.78
761363108908658183045851163077875448346092207002,2,1,1,0.0029560625597571995,0.657349924243324,Tot sum <= 30949.0
836578261654120794657391343844453847547234002369,2,1,1,0.003214827679973334,0.7161450085575558,Time_To_Live > 66.0
1313313205130014714347127647863310026252814877850,2,1,1,0.0034735928001894687,0.7947723289602928,Time_To_Live <= 232.25
1342412290037990275801029368844730198597963714935,8,4,4,0.022657298492144946,0.9085295671702055,ICMP <= 0.05
876121379949928295909454210951193330045979237216,2,1,1,0.006065629851846005,0.6397721780531552,Std > 448.37
854737470679532947107657314026081295833069183844,3,2,1,0.0021929247475943616,0.6009172865093563,UDP <= 0.14
450619439970260140363444461884469391454835761557,2,1,1,0.00018420567879792637,0.0005286224052143322,Variance > 92557.64
228352784087401773064080368050365694341687966897,5,2,3,0.0036665701779777728,0.6340713106636033,Std <= 755.85
1399401813432697514972361185561401703116868648764,4,2,2,0.0038463900072805103,0.623430313734338,Number <= 22.0
394083753513914301384721806483963457225439561087,1,0,1,0.0,0.9350011734826031,Header_Length > 20.38
1144197040251997211190350465913788187543239067957,11,5,6,0.029455365209687466,1.0182184832291459,syn_count > 0.5
467241809142469580954101248130479217213781612207,2,1,1,1.7543397980754893e-05,0.000536092547266405,syn_count > 10.5
1331163826998701005988327749618535286588076394133,2,1,1,3.5086795961509786e-05,0.570891010140231,Header_Length > 23.8
398927191248703264102191878649203257886026496233,2,1,1,0.0016534652596861487,0.6034310432442371,Variance > 623806.34
1368085777749806954510424449031662725325551931919,2,1,1,0.0032630720244204102,0.6430662945211455,ARP <= 0.05
890157151933730487206560358436928763492526365967,2,1,1,0.004863907090164294,0.6926528256073538,Min <= 970.5
1254652323580417465321813615400850719079092153960,4,2,2,0.006473513854898556,0.7572169020851468,IPv > 0.85
297159962591209266883682523885187846035591003400,2,1,1,0.0013420699455277494,0.5454303290516306,Min <= 154.0
876906660692558949267778359831024521684096312962,2,1,1,0.001600835065743884,0.5886023974679249,Variance <= 3350968.12
511591514204494996345684360765622442170002798897,4,2,2,0.011964597422874836,0.6456448189403142,Max > 2958.0
1277578065395582997390985360652132583624767470358,2,1,1,0.0035613097900932433,0.7843053013678585,Std <= 1833.38
400381712981511484664070085984055454620756473568,2,1,1,0.004245502311342684,0.0026820739434412957,psh_flag_number <= 0.2
332764691206988582057718629617666658783570619567,2,1,1,0.0029122040648053124,0.002137559177194612,Variance > 571308.56
124181416782325075940557531987760243047869062506,2,1,1,0.0,0.000538729067990666,ack_count <= 15.0
1394414938751630133600879251490207247212425569527,7,1,6,0.015881161022078368,0.79103616057595,ack_count > 1.5
832818805207219958385965786826879211534392508830,2,1,1,0.010539196336938502,0.5227603832819793,syn_count <= 4.5
1045874808088107332530545743065116310327379466881,6,3,3,0.018236362200994713,0.5603133673260997,Number <= 55.0
328841072803826724837110389485312510194016552872,6,6,0,0.0,0.0,Class Spoofing
956613943525031571374420419991157733051395288889,1,0,1,0.0,0.6928569885834033,Rate <= 1355.55
71289489250157073843808280449977051905804961170,10,5,5,0.08317763567625414,0.7856398796456503,psh_flag_number <= 0.25
834170176002351162089815128544616488077312328407,6,3,3,0.011324263396577284,0.5679596099814946,Header_Length <= 33.0
988533864090924689998327117632004085676706683697,2,1,1,0.0025130917607431385,0.5785712796536883,Rate > 121.29
831747041846740180737004389888464620526491013295,2,1,1,0.002771856880959273,0.6364241579315443,IRC <= 0.05
1197103207803047308000839155547999628248001264277,4,2,2,0.0038113032113190003,0.7209644206960752,syn_count <= 1.5
436321289875897528465499028965310311445215755872,2,1,1,0.005784935484153926,0.5373072601993749,Tot sum > 631.0
371591821625166726613853158278384607871803201524,12,6,6,0.04859082655719586,0.5988609885800701,fin_count <= 0.5
1323862965427776696036947695291374953401284971461,2,1,1,0.0,0.5975727352166197,Tot size <= 204.45
1211779019603258000957243660708019163554054981716,12,6,6,0.06092822118716174,0.7972231078167046,IAT <= 0.01
1202400470003894971655325614399469881292256509272,2,1,1,0.0027762427304544616,0.0016544167544737826,HTTPS > 0.4
324257255996341444250924282238468811742361554261,2,1,1,0.0014341727849267124,0.0011029445029825218,Std <= 573.92
34074896765766719437366549824949234562672804536,2,1,1,8.333114040858574e-05,0.0005514722514912609,Max <= 301.5
1018553467616496908475176424391053228891111154905,7,0,7,0.0,1.1636845673533678,TCP > 0.1
578090820621180084042190616769804575845934420364,13,7,6,0.07474364709700622,0.866134342050478,HTTP <= 0.05
392309697882436665536451611615504397657469986205,2,1,1,0.0013420699455277494,0.5992330326969763,Tot sum > 591.5
1237973980580025940325858167616113640843235459595,2,1,1,0.001600835065743884,0.6489039463402764,ack_flag_number <= 0.55
581472790269322698779126534108153174844124457892,4,2,2,0.007666464917589888,0.7138833135892144,Tot size <= 546.4
622378290932172203859505445258077236365739138030,2,1,1,0.006578774242783085,0.7832367791891581,Rate > 38.11
1238815493313229803767284947742880983558777714529,2,1,1,0.0003377104111295317,0.7534631050548418,ack_flag_number <= 0.95
1417934636759409488646659014188540628782694085883,5,3,2,0.011289176600615774,0.8376043267044735,ack_flag_number > 0.55
479558918440328824313980257606716486705651346406,2,1,1,0.006578774242783085,0.6555920447435156,Variance > 198750.05
43740599017155961745267266686215514673098991247,4,0,4,0.0,0.5960075591497455,Tot sum <= 5999.0
480622243251905441489889965862991046125458939243,2,1,1,0.0,0.7616097651225608,AVG > 62.65
984053500588784488228367892743500793516364787233,2,1,1,0.0040437532345640025,0.46955350555695735,Time_To_Live <= 161.55
76523785222702968606005854402947631102372927327,2,1,1,0.009473434909607642,0.004510208118969165,syn_count > 1.5
1304103064613305154034866345562235325963084635879,2,1,1,0.008153294211555837,0.003946432104098019,HTTPS <= 0.26
261809960037971438420289186308236045771928427897,2,1,1,0.006824381814513654,0.0033826560892268732,Std <= 55.65
982861737465550443797822186330435540154942808116,2,1,1,0.005486697718481093,0.002818880074355728,AVG <= 88.1
940512226975629965296538738181838624545539129217,2,1,1,0.004140241923458155,0.0022551040594845826,cwr_flag_number <= 0.05
780656447339424975669998279099129813803912414836,2,1,1,0.0027850144294448392,0.0016913280446134366,Header_Length <= 37.6
444843896754161623394905911924461747604963139459,2,1,1,0.0014210152364411463,0.0011275520297422913,Tot sum <= 889.5
129667429336600849652190762844194431447029181889,2,1,1,4.824434444707596e-05,0.0005637760148711456,Rate > 62.35
383116836596496468262090029448909352167655453320,3,3,0,0.0,0.0,Class Reconnaissance
138077334004252778430181930540733405593193044581,4,2,2,0.0167627167706113,0.5032735121977687,ack_count > 8.5
215322154371937964049723679897287616709960052998,2,1,1,0.007574362078190925,0.5791885385934556,Tot sum > 653.0
1387081056399495679439882211514993657010116846517,2,1,1,0.00783312719840706,0.6275576615743861,Tot sum <= 8403.0
405354473725904549589388532478448600812513409143,2,1,1,0.008091892318623194,0.6922201583870442,Rate > 136.08
939995650699590723201922265298166474358622686971,2,1,1,0.01996000105260388,0.5419342436488622,AVG <= 201.35
1018220883058315390792001266131730017588394075826,2,1,1,0.002938519161776445,0.6292146521262437,Max <= 1501.5
825772407670504315594556767788188293322909939823,5,3,2,0.009245370735857829,0.6691795579830049,HTTPS > 0.55
1018458204602455991644889288734705161316767948312,2,1,1,2.6315096971132338e-05,0.0005677307959575371,Std <= 346.63
1361653232660995247225098458485078879598815803506,8,4,4,0.04503390261659781,0.7835349327064425,Max > 1513.0
829650571075610833687368979855650942004633378987,10,5,5,0.0780549634658737,0.7654087149224327,rst_count <= 0.5
843002548960477477622483711282002215058518940907,4,2,2,0.05043288334517513,0.7326950626745988,Rate <= 3265.26
326422692296825843811100508251790776115352659574,5,4,1,3.070094646632106e-05,0.0035694096405286947,ack_count > 10.5
887410298125323304580009916080107716121325863727,3,0,3,0.0,0.6845742692211213,Rate <= 1319.67
39708696020348123235565526697395683715588118597,2,1,1,1.3157548485566169e-05,0.6186897057599187,IAT <= 0.05
1263975943052018020445551843902594361750291670747,2,1,1,0.0016271501627150163,0.6589135588825388,Variance > 2813.51
1057262703474651913660834877410341273440101450279,2,1,1,0.003232371077954089,0.7093749770259259,AVG > 92.05
31158052822109126636792237170785467052136843787,2,1,1,0.004828820294202785,0.7751111179214943,AVG <= 202.2
631465366138246779477533698662401654966400487210,2,1,1,0.004219187214371552,0.4642149331545924,Header_Length > 21.4
