feature,perm_importance,perm_std,mdi,lrc_max,lrc_soma,bc_max,n_predicados
Number,0.10975991183456535,0.0019403295540152087,0.1112289592941845,1.012980359591503,5.619922296514791,0.0182363622009947,20
HTTPS,0.0783452536764043,0.0017596305748851999,0.061570840895573783,2.340117669661351,10.709644542254548,0.0505425295825548,16
Max,0.053747532487134556,0.0011661604217547375,0.08076531783938097,1.7556347750918524,16.070407593115903,0.0601870126224748,34
Min,0.04317492308451372,0.001264111842190848,0.07740122169157171,1.0572169905015127,8.919763106470011,0.2347832951764427,17
IAT,0.027409017270176694,0.0014251052474377479,0.04881250599955093,1.0282295201150984,3.719428029939248,0.1763243072550722,5
Time_To_Live,0.026850882254202492,0.0010039529178027657,0.05335955256698597,2.6048136895897063,24.416473184065918,0.0237449891669517,36
Tot sum,0.010491104375223959,0.0012942231661722588,0.08246020086668696,2.969039558693929,20.509587217440632,0.0121707323491487,44
Rate,0.008513465105973828,0.0009085450376392979,0.05546555563790066,2.261803847402861,21.721660384991832,0.0504328833451751,34
fin_count,0.004484033782943176,0.0007798065877321494,0.009589486924968117,0.7426709281865306,1.342563675210028,0.054963465873705,3
psh_flag_number,0.004245083180759857,0.0007846353823284897,0.020929539159374542,2.662650183011257,8.757694817932306,0.0831776356762541,13
syn_count,0.003986969864899703,0.0004985204214176487,0.029177490800316903,1.018218483229146,3.7903921477129936,0.1209003271843723,8
HTTP,0.0035690758970617796,0.0006568020764335034,0.010361303780769339,0.866134342050478,1.5185728045949882,0.0747436470970062,3
ack_flag_number,0.0033846486589481305,0.0007580774425765327,0.04175312823306913,2.830659113006136,12.103568329678822,0.0164030771120058,17
Header_Length,0.003377273269588066,0.0007524851855289673,0.0467170871571571,2.0059118795658324,18.517418841209878,0.0793312456689736,29
syn_flag_number,0.0024659346974676088,0.0007872428887410641,0.021523240311569613,0.8150471675170766,2.6770550142367555,0.0435602571862143,6
fin_flag_number,0.0020778026204368084,0.000887894439320398,0.008279628757272856,0.8626241458173683,2.8286218651144477,0.0836381498732489,4
Tot size,0.002058180224478179,0.0009306073065340459,0.041938829777252766,1.6253753923801617,15.582425978566615,0.0211661096637807,28
Std,0.0018508106930578583,0.0006530528845244299,0.02628319420525264,0.8890813445473,10.335834873183018,0.0120479285632834,31
AVG,0.001076454755113121,0.0013791241069103376,0.03882045089564053,1.080595191527889,12.70684514902424,0.0199600010526038,31
Variance,0.001066950924347887,0.0007392582788019462,0.028650681210636037,1.6929015719412102,14.664495533829992,0.035301702586774,29
rst_flag_number,0.0010274928794284822,0.00032771387267890314,0.004857042633628987,0.6099602810861228,1.0997207064764862,0.0247581204003403,3
ack_count,0.001027408240284944,0.0010124739611190518,0.05273628786013061,1.9205310896422887,7.8182432675875875,0.0638667403489381,15
rst_count,0.0007053406593557244,0.00021631295859447588,0.005610788569741355,0.7654087149224327,1.2374893261663718,0.0780549634658737,3
Protocol Type,0.0005305170861775399,0.00038381135266914043,0.0014028338253690297,0.6458155708834677,0.6520575336981557,0.0064033402629755,2
ICMP,0.0002749766473395199,0.0002471243405337166,0.001258672153279797,0.9085295671702056,0.9092185779194791,0.0226572984921449,2
TCP,0.0002705120241679682,0.0007342005142537354,0.01763232852121075,1.908015989394798,6.864128771472625,0.0349859214231204,7
SSH,0.00010683237916164767,2.9654562891939637e-05,0.0002275452137160706,0.6805746199870583,1.3467372232603834,0.0236879731235142,2
DHCP,9.283640733317444e-05,3.1148586332214064e-05,0.0002496009966424655,0.5162011496866972,0.5162011496866972,0.0020350341657675,1
ece_flag_number,7.350508957806312e-05,5.993193989549626e-05,0.0005557878424017839,0.604779369156624,0.604779369156624,0.0119119672289325,1
Telnet,0.0,0.0,3.2480094690084026e-17,0.0082804327546624,0.0082804327546624,4.385849495188723e-06,1
IGMP,0.0,0.0,1.527078198415283e-05,0.0020129835729732,0.0020129835729732,0.0027236125365121,1
IRC,-8.745489749728553e-06,2.623646924918566e-05,2.7641268848110954e-05,0.6364241579315443,0.6483034414748229,0.0027718568809592,2
DNS,-8.524188585906645e-05,0.00031919026403923287,0.0029190469081794837,0.7674890481953773,1.4954110338704267,0.0199775444505846,3
cwr_flag_number,-0.0001105515670360102,2.623896576388063e-05,0.00016033773789943693,0.0022551040594845,0.0022551040594845,0.0041402419234581,1
ARP,-0.00028803535212382767,0.00017343254169058665,0.00411504933032434,1.5369917065697971,2.2125873937868747,0.0091050235520117,5
LLC,-0.0003383048046597836,0.00021300911751175267,0.0013359859726562741,0.0093930445003005,0.0160713514948536,0.0,2
IPv,-0.00048693960771338806,0.000206114677207062,0.002889858381579413,1.3501252020607295,3.0353094027963996,0.0371218301272773,4
UDP,-0.0005596734813921422,0.000462758291166998,0.008917705997292812,0.8583441877318284,4.97422071017002,0.0118812662824662,12
