classe,predicado,alcance,betweenness,posicao_alcance,posicao_betweenness
Class Benign,Number <= 10.5,0.9056936636730848,0.0167714884696016,1,3
Class Benign,HTTP <= 0.05,0.866134342050478,0.0747436470970062,2,1
Class Benign,psh_flag_number <= 0.35,0.8083330518753428,0.0092015122409059,3,8
Class Benign,ack_flag_number > 0.35,0.7891925116824512,0.0140084032876327,4,5
Class Benign,Header_Length > 11.0,0.7769178834752144,0.0229599221073129,5,2
Class Benign,fin_flag_number <= 0.15,0.7764880974664118,0.004951624080068,6,9
Class Benign,psh_flag_number <= 0.37,0.7760742901188189,0.0031446540880503,7,16
Class Benign,AVG <= 202.2,0.7751111179214943,0.0048288202942027,8,10
Class Benign,Rate <= 3729.12,0.750967076182832,0.0046928589598519,9,11
Class Benign,Tot sum > 2199.5,0.7418921931823212,2.1929247475943617e-05,10,39
Class Benign,Tot sum > 3655.0,0.7110127202126313,0.0015394331728112,11,29
Class Benign,AVG > 92.05,0.7093749770259259,0.003232371077954,12,15
Class Benign,HTTPS > 0.55,0.6691795579830049,0.0092453707358578,13,7
Class Benign,Variance > 2813.51,0.6589135588825388,0.001627150162715,14,27
Class Benign,Max > 1501.5,0.6321962382687478,0.0020043332193012,15,25
Class Benign,Tot size > 62.65,0.6316444117819665,0.0008333114040858,16,34
Class Benign,Max <= 1501.5,0.6292146521262437,0.0029385191617764,17,18
Class Benign,IAT <= 0.05,0.6186897057599187,1.3157548485566167e-05,18,42
Class Benign,Max <= 1502.5,0.6097987909989139,0.0162934308746261,19,4
Class Benign,Variance <= 831186.41,0.601439467212777,0.0017455680990851,20,26
Class Benign,Tot size <= 289.8,0.5626577827459404,0.0016139926142294,21,28
Class Benign,Tot size <= 198.05,0.5283776530948597,8.771698990377447e-06,22,44
Class Benign,Time_To_Live <= 221.25,0.5277346942085922,0.0030525512486513,23,17
Class Benign,Time_To_Live > 61.95,0.5219869652774716,0.0119733691218652,24,6
Class Benign,Time_To_Live > 63.35,0.4418909044568542,0.0044735664850924,25,12
Class Benign,Tot size <= 60.3,0.0134409826522826,0.0040525249335543,26,14
Class Benign,ARP <= 0.5,0.0100807369892119,0.0027148408375218,27,22
Class Benign,Time_To_Live > 62.85,0.0067204913261413,0.0013683850424988,28,31
Class Benign,Rate > 57.68,0.0033602456630706,1.3157548485566167e-05,29,42
Class Benign,psh_flag_number <= 0.2,0.0026820739434412,0.0042455023113426,30,13
Class Benign,Tot size > 350.75,0.0025490028835528,0.0025087059112479,31,24
Class Benign,Variance > 580973.53,0.0021764478578774,0.0027104549880266,32,23
Class Benign,Variance > 571308.56,0.0021375591771946,0.0029122040648053,33,19
Class Benign,Variance <= 571308.56,0.0020565594016103,0.0011754076647105,34,33
Class Benign,HTTPS > 0.4,0.0016544167544737,0.0027762427304544,35,20
Class Benign,rst_flag_number <= 0.1,0.0015814730144358,0.0027543134829785,36,21
Class Benign,Number <= 11.0,0.0014509652385849,0.0013683850424988,37,31
Class Benign,HTTPS <= 0.55,0.0014043867057896,0.0,38,48
Class Benign,Rate <= 214.21,0.0012725606695766,0.0,39,48
Class Benign,Std <= 573.92,0.0011029445029825,0.0014341727849267,40,30
Class Benign,Variance <= 92557.64,0.0010383497452381,0.0,41,48
Class Benign,AVG > 781.85,0.0007601968088285,8.771698990377447e-06,42,44
Class Benign,UDP <= 0.15,0.0007461353649658,8.771698990377447e-06,43,44
Class Benign,Header_Length > 26.2,0.0007254826192924,1.7543397980754893e-05,44,41
Class Benign,Max > 1502.5,0.0005998084647693,0.0,45,48
Class Benign,Std <= 346.63,0.0005677307959575,2.6315096971132334e-05,46,38
Class Benign,Max <= 301.5,0.0005514722514912,8.333114040858574e-05,47,36
Class Benign,ack_count <= 15.0,0.0005387290679906,0.0,48,48
Class Benign,Variance > 92557.64,0.0005286224052143,0.0001842056787979,49,35
Class Benign,Tot size > 62.95,0.0005057725589374,8.771698990377447e-06,50,44
Class Benign,Time_To_Live <= 202.1,0.0005040148784545,2.1929247475943617e-05,51,39
Class Benign,ack_count > 5.5,0.0004807256120569,6.578774242783085e-05,52,37
Class Benign,Class Benign,0.0,0.0,53,48
Class DoS/DDoS,Tot sum > 5999.0,2.969039558693929,0.0,1,348
Class DoS/DDoS,ack_flag_number <= 0.59,2.830659113006136,7.455944141820829e-05,2,296
Class DoS/DDoS,psh_flag_number <= 0.1,2.662650183011257,0.0017499539485803,3,229
Class DoS/DDoS,Time_To_Live <= 69.8,2.6048136895897063,0.0,4,348
Class DoS/DDoS,HTTPS <= 0.1,2.340117669661351,0.0370472706858591,5,19
Class DoS/DDoS,Rate > 1319.67,2.261803847402861,0.0,6,348
Class DoS/DDoS,Rate > 1355.55,2.1003897827427176,0.0,7,348
Class DoS/DDoS,Header_Length <= 21.18,2.0059118795658324,0.0018025841425225,8,227
Class DoS/DDoS,Header_Length <= 20.38,1.964334571739464,0.0,9,348
Class DoS/DDoS,ack_count <= 3.5,1.9205310896422887,0.0017718831960562,10,228
Class DoS/DDoS,TCP > 0.3,1.908015989394798,0.0349859214231204,11,24
Class DoS/DDoS,TCP <= 0.1,1.869673615472334,0.0,12,348
Class DoS/DDoS,Max <= 655.5,1.7556347750918524,0.0035437663921124,13,185
Class DoS/DDoS,ack_flag_number <= 0.1,1.749299893715765,0.0011271633202635,14,268
Class DoS/DDoS,Tot sum > 5965.5,1.701798658842992,0.0044077787426646,15,161
Class DoS/DDoS,Variance <= 16.85,1.6929015719412102,0.0105391963369385,16,75
Class DoS/DDoS,Rate > 47.19,1.630016705489312,0.0360779979474224,17,20
Class DoS/DDoS,Tot size <= 956.8,1.6253753923801617,0.0056051156548511,18,125
Class DoS/DDoS,ARP <= 0.1,1.5369917065697971,0.0091050235520117,19,85
