Header_Length,Protocol Type,Time_To_Live,Rate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Variance,Label,dataset_family
29.6,6,182.3,175.50931253373727,0.0,0.0,0.0,0.3,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1112.0,66.0,336.0,111.2,84.85386130152109,111.2,0.0075577974319458,10.0,7200.177777777779,BENIGN,
27.2,6,180.2,440.31914000167967,0.0,0.0,0.0,0.1,0.8,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,738.0,60.0,156.0,73.8,28.98965332666122,73.8,0.0022711992263793,10.0,840.4,BENIGN,
12.8,17,76.4,82.67750030060574,0.0,0.0,0.0,0.1,0.2,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.8,0.0,0.0,0.0,0.0,1.0,1.0,1014.0,60.0,218.0,101.4,67.32376169591899,101.4,0.0129333972930908,10.0,4532.488888888889,BENIGN,
22.4,6,151.5,74.81438672346012,0.0,0.0,0.0,0.1,0.6,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.4,0.0,0.0,0.0,0.0,1.0,1.0,944.0,60.0,256.0,94.4,63.65043423086584,94.4,0.0135057926177978,10.0,4051.377777777777,BENIGN,
32.0,6,57.4,49.24071021700031,0.1,0.0,0.0,0.5,1.0,0.0,0.0,10.0,0.0,1.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2297.0,66.0,791.0,229.7,298.0533322895231,229.7,0.0248872995376586,10.0,88835.78888888886,BENIGN,
29.6,6,169.8,112.70647921234792,0.0,0.0,0.0,0.3,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,3071.0,66.0,1514.0,307.1,457.28193345754073,307.1,0.0089339971542358,10.0,209106.7666666667,BENIGN,
29.6,6,149.9,1733.398355167996,0.0,0.0,0.0,0.0,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,8048.0,66.0,1514.0,804.8,748.8635538081835,804.8,0.0005769968032836,10.0,560796.6222222222,BENIGN,
27.2,6,101.8,92.33592518558308,0.0,0.0,0.0,0.2,0.8,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,1.0,1.0,10235.0,66.0,1999.0,1023.5,753.4252525042621,1023.5,0.0108386039733886,10.0,567649.6111111111,BENIGN,
28.0,6,110.0,117.62786967081166,0.0,0.2,0.0,0.4,0.8,0.0,0.0,8.0,2.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.8,0.1,0.0,0.1,0.0,0.0,0.9,0.9,1417.0,60.0,357.0,141.7,98.84786290052,141.7,0.0098273992538452,10.0,9770.9,BENIGN,
28.4,6,183.3,203.92376507195644,0.0,0.0,0.0,0.3,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2169.0,60.0,1090.0,216.9,330.8166494533726,216.9,0.0054714918136596,10.0,109439.6555555556,BENIGN,
32.0,6,130.8,729.9265601614981,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12244.0,66.0,2962.0,1224.4,1142.197803457099,1224.4,0.001370096206665,10.0,1304615.8222222226,BENIGN,
16.8,6,62.7,68.93322310952752,0.0,0.0,0.0,0.3,0.5,0.0,0.0,5.0,0.0,0.0,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.0,0.3,0.1,0.0,0.7,0.7,981.0,60.0,214.0,98.1,55.806112767529534,98.1,0.0242028951644897,10.0,3114.3222222222225,BENIGN,
29.6,6,94.9,3271.1776633910467,0.0,0.0,0.0,0.0,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.1,0.0,0.0,0.0,0.0,1.0,1.0,38516.0,66.0,8442.0,3851.6,3273.1838119278705,3851.6,0.0003138065338134,10.0,10713732.266666666,BENIGN,
24.0,6,136.2,42.01290746511449,0.0,0.0,0.0,0.6,0.9,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.1,0.0,1.0,1.0,1103.0,60.0,175.0,110.3,45.13941367216312,110.3,0.0247904062271118,10.0,2037.5666666666668,BENIGN,
